i,map,width,height,start,start_up,start_right,start_down,start_left,goal,goal_up,goal_right,goal_down,goal_left,top,left,distance,forward,backward,astar_bi
0,arena.map,47,47,650,13,7,33,39,826,17,19,29,27,-4,12,16,17,17,17
1,arena.map,47,47,457,9,12,37,34,2014,42,6,4,40,-33,-6,39,40,40,40
2,arena.map,47,47,626,13,31,33,15,1351,28,11,18,35,-15,-20,35,36,36,36
3,arena.map,47,47,849,18,43,28,3,1793,38,39,8,7,-20,-4,24,25,25,25
4,arena.map,47,47,529,11,34,35,12,649,13,8,33,38,-2,-26,28,29,29,29
5,arena.map,47,47,1291,27,24,19,22,116,2,24,44,22,25,0,25,28,28,28
6,arena.map,47,47,762,16,36,30,10,1127,23,0,23,46,-7,-36,43,44,94,69
7,arena.map,47,47,355,7,20,39,26,2015,42,5,4,41,-35,-15,50,51,51,51
8,arena.map,47,47,1825,38,7,8,39,2199,46,9,0,37,-8,2,10,11,11,11
9,arena.map,47,47,1368,29,41,17,5,403,8,19,38,27,21,-22,43,61,44,47
10,arena.map,47,47,532,11,31,35,15,989,21,44,25,2,-10,13,23,24,24,24
11,arena.map,47,47,1914,40,12,6,34,1559,33,38,13,8,7,26,33,49,34,45
12,arena.map,47,47,1248,26,20,20,26,188,4,46,42,0,22,26,48,49,49,49
13,arena.map,47,47,770,16,28,30,18,252,5,29,41,17,11,1,12,13,13,13
14,arena.map,47,47,665,14,39,32,7,2143,45,18,1,28,-31,-21,52,53,98,53
15,arena.map,47,47,473,10,43,36,3,1574,33,23,13,23,-23,-20,43,44,44,44
16,arena.map,47,47,402,8,20,38,26,1155,24,19,22,27,-16,-1,17,18,18,18
17,arena.map,47,47,1657,35,34,11,12,1692,36,46,10,0,-1,12,13,14,14,14
18,arena.map,47,47,418,8,4,38,42,389,8,33,38,13,0,29,29,33,33,33
19,arena.map,47,47,344,7,31,39,15,899,19,40,27,6,-12,9,21,22,22,22
20,arena.map,47,47,1106,23,21,23,25,1948,41,25,5,21,-18,4,22,23,23,23
21,arena.map,47,47,838,17,7,29,39,1151,24,23,22,23,-7,16,23,24,31,31
22,arena.map,47,47,857,18,35,28,11,915,19,24,27,22,-1,-11,12,13,13,13
23,arena.map,47,47,1688,35,3,11,43,1005,21,28,25,18,14,25,39,40,40,40
24,arena.map,47,47,977,20,9,26,37,981,20,5,26,41,0,-4,4,5,5,5
25,arena.map,47,47,1657,35,34,11,12,110,2,30,44,16,33,-4,37,38,38,38
26,arena.map,47,47,1986,42,34,4,12,268,5,13,41,33,37,-21,58,59,59,59
27,arena.map,47,47,500,10,16,36,30,796,16,2,30,44,-6,-14,20,21,21,21
28,arena.map,47,47,1817,38,15,8,31,1901,40,25,6,21,-2,10,12,13,13,13
29,arena.map,47,47,216,4,18,42,28,1533,32,17,14,29,-28,-1,29,30,30,30
30,arena.map,47,47,2051,43,16,3,30,1875,39,4,7,42,4,-12,16,17,17,17
31,arena.map,47,47,1906,40,20,6,26,1772,37,13,9,33,3,-7,10,11,11,11
32,arena.map,47,47,1241,26,27,20,19,511,10,5,36,41,16,-22,38,39,39,39
33,arena.map,47,47,561,11,2,35,44,467,9,2,37,44,2,0,2,3,3,3
34,arena.map,47,47,1029,21,4,25,42,509,10,7,36,39,11,3,14,15,15,15
35,arena.map,47,47,436,9,33,37,13,2174,46,34,0,12,-37,1,38,39,39,39
36,arena.map,47,47,1208,25,13,21,33,1348,28,14,18,32,-3,1,4,5,5,5
37,arena.map,47,47,1024,21,9,25,37,982,20,4,26,42,1,-5,6,7,7,7
