map,i,start,goal_near,goal_far,closed,forward,backward
arena.map,0,1811,551,750,37,35,23
arena.map,1,509,734,989,16,34,38
arena.map,2,632,1235,1860,22,32,32
arena.map,3,970,911,2171,14,47,47
arena.map,4,1577,787,366,35,12,20
arena.map,5,427,957,1215,45,29,39
arena.map,6,1874,655,660,30,121,43
arena.map,7,521,627,794,15,30,31
arena.map,8,83,1355,1491,31,32,32
arena.map,9,1792,600,842,57,58,38
arena.map,10,2160,1129,70,66,55,45
arena.map,11,1976,1578,11,47,33,42
arena.map,12,331,412,1783,57,47,75
arena.map,13,728,452,1261,13,27,46
arena.map,14,523,297,867,15,22,22
arena.map,15,241,1155,1578,41,29,9
arena.map,16,328,176,711,15,49,98
arena.map,17,563,1660,1559,102,11,29
arena.map,18,1529,491,2028,27,29,43
arena.map,19,1300,703,1036,28,29,29
arena.map,20,2156,1446,1342,21,13,17
arena.map,21,368,1174,1382,32,42,48
arena.map,22,668,68,1079,29,43,141
arena.map,23,2066,468,2028,35,38,38
arena.map,24,1774,1015,1974,24,40,40
arena.map,25,770,847,1549,20,42,68
arena.map,26,1177,1324,452,10,37,43
arena.map,27,116,871,1702,20,46,46
arena.map,28,703,1029,1423,11,39,98
arena.map,29,972,958,2020,15,46,36
arena.map,30,178,837,900,16,46,46
arena.map,31,1800,1869,323,24,37,128
arena.map,32,161,453,1137,17,32,32
arena.map,33,1401,85,2130,29,42,39
arena.map,34,97,1580,1260,58,9,33
arena.map,35,289,596,1444,33,21,53
arena.map,36,1481,1243,1367,9,20,20
arena.map,37,41,1540,1961,38,12,43
arena.map,38,1288,1113,102,18,32,32
arena.map,39,1376,714,469,19,39,39
arena.map,40,757,919,110,25,17,25
arena.map,41,1873,1685,1761,5,18,18
arena.map,42,941,2030,839,32,52,42
arena.map,43,2072,2070,1259,3,51,51
arena.map,44,2156,1542,1285,17,28,30
arena.map,45,323,1500,1278,28,53,93
arena.map,46,2118,1620,718,31,19,29
arena.map,47,264,1914,2147,41,103,43
arena.map,48,520,295,2146,16,92,62
arena.map,49,898,1806,1215,35,20,26
arena.map,50,1299,1333,1524,15,5,5
arena.map,51,2057,1153,699,31,15,15
arena.map,52,746,302,1930,82,64,134
arena.map,53,835,917,134,15,19,19
arena.map,54,1890,382,154,37,8,8
arena.map,55,235,222,1919,36,74,74
arena.map,56,1946,2180,2082,7,4,7
arena.map,57,1851,1084,383,32,15,26
arena.map,58,712,301,2076,22,30,30
arena.map,59,1905,1639,748,23,22,37
arena.map,60,954,1366,1439,21,25,25
arena.map,61,1272,995,252,12,26,30
arena.map,62,2147,277,343,51,55,96
arena.map,63,1984,1633,985,34,25,49
arena.map,64,1017,1908,230,22,29,69
arena.map,65,2096,1878,1331,23,24,24
arena.map,66,82,1434,1885,45,30,74
arena.map,67,1096,820,1074,13,25,25
arena.map,68,1832,1295,273,32,22,50
arena.map,69,848,350,1479,31,33,33
arena.map,70,480,1709,1854,98,8,33
arena.map,71,642,443,1236,16,34,30
arena.map,72,732,878,117,9,17,17
arena.map,73,1042,1559,482,12,16,16
arena.map,74,1808,2042,119,7,39,52
arena.map,75,1546,1572,324,33,26,26
arena.map,76,2019,2143,981,21,22,26
arena.map,77,1132,1670,1445,33,15,16
arena.map,78,402,855,1980,28,28,52
arena.map,79,632,303,605,8,20,20
arena.map,80,328,1502,114,27,29,30
arena.map,81,579,781,1491,19,23,24
arena.map,82,2083,1942,1797,4,8,7
arena.map,83,2010,1213,1418,20,90,32
arena.map,84,385,211,37,19,28,32
arena.map,85,177,885,991,19,50,50
arena.map,86,593,618,901,24,7,7
arena.map,87,841,1954,1515,40,46,46
arena.map,88,729,1949,1549,29,38,75
arena.map,89,458,1147,852,32,13,22
arena.map,90,1785,1347,1602,25,41,41
arena.map,91,1714,2070,662,29,22,40
arena.map,92,504,627,159,22,7,23
arena.map,93,1632,1372,496,31,19,27
arena.map,94,1435,2086,412,22,33,33
arena.map,95,1896,1845,193,6,43,112
arena.map,96,2017,1044,1038,54,40,6
arena.map,97,528,65,644,21,24,24
arena.map,98,571,796,1637,42,22,22
arena.map,99,2066,140,1146,43,27,27
arena2.map,0,15276,18708,43527,73,206,840
arena2.map,1,45905,33513,10955,73,1306,2702
arena2.map,2,18144,20215,36895,2423,134,4201
arena2.map,3,27849,35813,29949,202,37,606
arena2.map,4,52520,37788,26490,3871,1738,8638
arena2.map,5,40864,25452,43506,2640,3799,3019
arena2.map,6,9108,18075,48860,85,4870,2036
arena2.map,7,10547,27750,35211,190,169,154
arena2.map,8,19552,17684,42405,2480,69,245
arena2.map,9,47355,33639,30285,155,31,693
arena2.map,10,48441,57003,22742,5926,43,49
arena2.map,11,25224,39619,28754,161,145,158
arena2.map,12,46328,34694,17883,2452,119,1583
arena2.map,13,18688,31067,34076,83,171,935
arena2.map,14,25194,33027,39698,64,1484,297
arena2.map,15,30606,38974,30487,519,851,650
arena2.map,16,24786,11372,37853,149,323,1364
arena2.map,17,20938,27131,16698,41,3671,4557
arena2.map,18,29000,17284,24370,3044,60,60
arena2.map,19,44373,9271,33510,157,4313,8109
arena2.map,20,42792,41987,27888,42,61,61
arena2.map,21,10369,39231,27053,1047,1936,7888
arena2.map,22,35040,51399,13053,2467,216,149
arena2.map,23,32672,34651,36983,20,3557,538
arena2.map,24,20402,30702,53647,528,3197,2094
arena2.map,25,34427,20366,21171,62,3240,463
arena2.map,26,17024,11385,24382,40,105,104
arena2.map,27,28312,16572,48715,297,2116,328
arena2.map,28,24632,31607,41696,76,4048,1063
arena2.map,29,44096,45958,23234,4205,23,94
arena2.map,30,29904,11653,16574,3868,1604,2938
arena2.map,31,24377,23459,46761,79,3444,254
arena2.map,32,33355,15975,29884,2131,155,102
