k,counter,kasar,kastar_h
2,1,50611,20811
2,2,42686,22059
2,3,105725,50088
2,4,120671,42365
2,5,69693,44640
2,6,61730,36421
2,7,70034,56704
2,8,43001,22188
2,9,73935,28812
2,10,87235,39517
2,11,90201,39541
2,12,55075,41155
2,13,41723,24225
2,14,725,574
2,15,17825,10329
2,16,151689,58600
2,17,22809,17011
2,18,40840,18028
2,19,58116,39776
2,20,127381,60908
2,21,98573,45868
2,22,32059,15965
2,23,5929,4307
2,24,42756,18527
2,25,80530,39250
2,26,102551,75267
2,27,50784,37260
2,28,43119,17614
2,29,44093,15461
2,30,54054,30191
2,31,31194,22990
2,32,17770,13450
2,33,28223,15592
2,34,79471,60683
2,35,79015,29035
2,36,44507,22687
2,37,10124,4680
2,38,78384,27482
2,39,48684,40553
2,40,22479,13027
2,41,166740,67110
2,42,78014,36405
2,43,38275,25139
2,44,20113,8712
2,45,39014,23464
2,46,14403,6867
2,47,11246,9007
2,48,67319,26974
2,49,28339,17018
2,50,102721,49657
2,51,53454,28873
2,52,112882,58750
2,53,24870,15670
2,54,44163,21567
2,55,32328,23228
2,56,71408,67020
2,57,50280,31635
2,58,25853,15622
2,59,28908,13672
2,60,740,544
2,61,68243,62409
2,62,102122,70167
2,63,32843,21056
2,64,12227,9118
2,65,46686,33888
2,66,39377,12441
2,67,47833,38250
2,68,21110,16381
2,69,49374,22713
2,70,11290,7332
2,71,63701,45976
2,72,118004,62924
2,73,103655,73306
2,74,85445,36162
2,75,52735,24888
2,76,85540,55084
2,77,85753,38871
2,78,77376,26439
2,79,28372,25610
2,80,96434,38592
2,81,63674,24273
2,82,31946,22795
2,83,48919,16567
2,84,40751,18338
2,85,27436,15228
2,86,54075,39325
2,87,70280,49715
2,88,66144,34323
2,89,7806,4466
2,90,21586,17329
2,91,44420,25952
2,92,43310,26214
2,93,1463,1182
2,94,51163,32597
2,95,44540,26494
2,96,56285,18882
2,97,23408,10807
2,98,35495,26983
2,99,39485,30701
2,100,5212,2795
5,1,63081,17163
5,2,123096,39271
5,3,207465,47301
5,4,165641,60168
5,5,233498,55312
5,6,359537,75404
5,7,277677,82022
5,8,199457,57069
5,9,172231,53371
5,10,110383,40368
5,11,227242,49044
5,12,283616,73199
5,13,141168,30143
5,14,251629,49870
5,15,276343,57747
5,16,130043,44257
5,17,208989,73200
5,18,92864,26024
5,19,116575,32587
5,20,229809,55791
5,21,141826,44828
5,22,119654,38544
5,23,119507,27850
5,24,51908,13354
5,25,233446,55592
5,26,328797,66746
5,27,126445,35961
5,28,262806,55688
5,29,138851,33060
5,30,165405,51109
5,31,213283,64393
5,32,142879,32841
5,33,64706,27233
5,34,143890,43930
5,35,160777,44550
5,36,157302,62098
5,37,139269,46613
5,38,140174,37458
5,39,359417,74235
5,40,50227,21336
5,41,51661,20074
5,42,314103,75793
5,43,280601,58340
5,44,106499,42506
5,45,460236,87023
5,46,151301,38051
5,47,200064,64141
5,48,271884,69687
5,49,236217,57973
5,50,334525,84245
5,51,96586,23813
5,52,159304,40594
5,53,106216,29514
5,54,116805,32906
5,55,158852,37979
5,56,221315,61017
5,57,160168,59075
5,58,184654,42064
5,59,206652,65978
5,60,322386,74477
5,61,54632,22774
5,62,51566,19798
5,63,51054,16657
5,64,138758,49503
5,65,196583,50558
5,66,57171,25624
5,67,124018,37524
5,68,288555,45293
5,69,63854,23087
5,70,150972,46954
5,71,179014,65997
5,72,58679,15015
5,73,193590,61653
5,74,55296,16719
5,75,144005,32976
5,76,73823,28875
5,77,111022,31042
5,78,146056,42417
5,79,164281,35433
5,80,145118,41400
5,81,63316,25170
5,82,248027,55614
5,83,183501,40401
5,84,130656,35429
5,85,222555,49843
5,86,187483,54349
5,87,337048,72798
5,88,269422,75759
5,89,244900,54534
5,90,50727,23117
5,91,144479,47971
5,92,398225,70303
5,93,263879,57501
5,94,128452,54848
5,95,76919,15238
5,96,180026,49704
5,97,123311,67157
5,98,105096,28663
5,99,62985,17383
5,100,232643,46118
10,1,366835,47516
10,2,520814,74141
10,3,363898,69075
10,4,476005,59590
10,5,456196,63320
10,6,393644,56100
10,7,760629,83247
10,8,370716,60537
10,9,648366,91928
10,10,464725,53206
10,11,377953,52447
10,12,544156,69269
10,13,696176,71723
10,14,507539,69450
10,15,483096,59575
10,16,435132,55231
10,17,269382,51948
10,18,524879,71154
10,19,554051,74145
10,20,380617,44879
10,21,544186,58254
10,22,413462,81597
10,23,233449,35295
10,24,360389,49719
10,25,713044,79227
10,26,460794,56522
10,27,419874,56475
10,28,313954,55150
10,29,457837,83599
10,30,170765,31196
10,31,318296,45224
10,32,422561,64829
10,33,310306,51064
10,34,681082,84693
10,35,663881,77201
10,36,641262,73898
10,37,522700,59643
10,38,312811,47136
10,39,383196,52087
10,40,415419,56583
10,41,475730,80779
10,42,425533,66419
10,43,512250,92125
10,44,503487,70983
10,45,174533,31968
10,46,326374,45276
10,47,314361,40819
10,48,246950,51502
10,49,586090,92496
10,50,404457,51096
10,51,420453,55249
10,52,258685,39474
10,53,347945,61623
10,54,194088,53929
10,55,252896,51117
10,56,450041,67776
10,57,331964,57726
10,58,270259,39939
10,59,360136,56376
10,60,471680,79055
10,61,441319,56708
10,62,484257,72341
10,63,279135,46657
10,64,505717,62704
10,65,389858,59761
10,66,332070,77546
