start, goal, distance, forward, backward, path_forward, path_backward
169325,211774,113,178,115,114,114
262661,138308,369,3614,4534,378,378
285200,224919,233,77816,30248,890,890
368782,273773,401,1882,2127,402,402
62258,193720,474,44917,20933,655,655
257841,116384,461,2900,7321,468,468
73934,333785,651,30894,25424,892,892
105357,121462,121,373,128,122,122
70991,103384,157,8658,4859,240,240
116222,342224,546,9168,13785,605,605
40039,133591,240,3645,295,245,245
302603,296084,39,40,40,40,40
251350,106247,383,2941,5950,390,390
322714,115355,527,12331,12600,588,588
334044,118101,623,22244,16864,666,666
113636,343126,530,8812,9937,579,579
95974,309069,551,21565,22584,712,712
308917,123257,526,11938,9413,543,543
208903,336391,480,1702,2554,481,481
141839,109012,157,867,367,158,158
236475,403419,624,2023,5213,625,625
277280,321035,123,151,124,124,124
57129,365756,815,31423,36562,1016,1016
174260,360976,524,3518,13872,535,535
154327,289021,342,5714,9881,395,395
204040,286148,460,30762,68010,891,891
62345,309294,865,25907,18980,878,878
334163,81802,661,50905,30931,930,930
118523,345392,547,16454,26407,722,722
190314,128351,187,212,794,188,188
60491,287728,613,21116,13897,670,670
134587,58862,225,5366,9607,340,340
102280,48263,233,2192,2594,254,254
127018,145583,97,100,495,98,98
135681,63574,371,7032,2326,372,372
63615,115072,189,8575,3384,246,246
34412,142075,403,14699,1238,418,418
398254,307718,248,11974,3321,325,325
135826,137343,219,2709,6031,268,268
145119,135279,142,1814,1117,153,153
121816,180286,150,14114,7435,279,279
289779,192275,304,46433,37783,817,817
335710,137827,459,23755,21541,626,626
88620,257870,444,74467,34029,853,853
83951,198458,503,41820,37916,660,660
120302,158479,449,29120,4624,542,542
255739,185055,268,68456,68168,923,923
240366,89408,508,11023,54754,693,693
205691,205269,12,13,13,13,13
274180,375715,447,2626,1853,448,448
115370,188872,278,22590,11725,375,375
114444,121965,177,2945,5930,208,208
151163,103824,401,8355,813,402,402
70862,324483,703,11359,27602,732,732
143339,76912,409,31195,44050,636,636
269950,137938,358,13938,8543,457,457
137519,256975,328,2889,8487,391,391
140607,171613,242,25842,17921,445,445
114876,4534,328,377,1432,329,329
299336,115089,637,13601,16938,646,646
171595,299404,369,35248,51276,692,692
262997,281587,72,195,821,83,83
79117,228632,649,23443,25517,672,672
397368,334052,244,501,442,245,245
79995,142719,206,363,273,207,207
336625,74001,814,25195,13239,823,823
389603,131974,601,42297,19620,902,902
109729,315389,490,8545,9579,545,545
69259,74531,370,20178,15248,595,595
117980,137146,158,318,941,159,159
82647,199692,569,41477,40290,686,686
296884,162002,530,37426,23945,671,671
164577,262126,349,34055,22736,588,588
270701,203104,205,51547,44656,862,862
207938,104634,422,19081,27017,519,519
334644,267768,348,1318,1757,349,349
145621,184198,129,5954,6992,238,238
133287,332718,643,9129,34195,688,688
271698,206131,335,52287,36270,748,748
118969,301203,480,14169,19490,609,609
289436,83079,661,33401,15962,708,708
131480,312839,487,15181,19334,582,582
77442,291201,637,23484,20484,708,708
107091,325446,627,18839,12888,650,650
107640,114521,63,1284,1991,104,104
306439,213503,488,68115,32075,917,917
95884,117036,114,1891,155,117,117
340050,316435,255,19444,5920,386,386
200644,229254,98,28296,44821,599,599
384782,174620,642,67504,37195,945,945
174534,276376,322,40581,43531,745,745
204451,69191,582,43310,43561,701,701
307166,298050,44,59,45,45,45
121096,238350,360,5240,2588,367,367
128373,284323,430,3888,3331,437,437
367416,380417,41,42,42,42,42
98393,296500,683,18574,12749,690,690
325751,311891,36,37,37,37,37
148544,113115,159,406,1087,160,160
307638,293375,59,60,60,60,60
330997,260470,215,407,233,216,216
127595,305447,522,6782,15069,539,539
293380,210899,401,60221,30812,806,806
110955,179717,244,8596,2534,271,271
94894,369660,878,24107,28980,885,885
63200,134867,377,2332,2913,378,378
282173,301908,229,8151,2837,254,254
247337,190218,169,52629,50832,832,832
162835,67760,405,1790,21504,442,442
205410,129712,252,21050,27972,467,467
216689,77932,557,47109,47293,826,826
51798,257849,533,10736,18274,600,600
149473,281139,338,36662,22761,585,585
332783,94464,719,24293,46125,782,782
242136,97475,373,23808,55484,778,778
311593,128779,510,9588,10236,527,527
182884,280264,270,37569,58062,757,757
256023,108138,543,29526,36572,700,700
98130,324157,523,10947,18975,660,660
263969,140202,357,16913,12748,562,562
113700,66241,281,2449,6578,294,294
144707,89874,285,32475,1941,432,432
217129,131393,200,1073,1292,215,215
147714,97967,163,176,1842,164,164
186638,303888,610,32062,59914,887,887
337098,178121,433,68709,42996,848,848
271290,289478,44,261,205,55,55
71817,317635,694,40939,27510,829,829
138833,309000,395,11025,28093,592,592
176688,375278,734,33882,64729,973,973
235606,84900,370,14701,57077,873,873
324022,345821,199,240,1619,200,200
145105,132424,339,8323,4383,376,376
58852,113166,370,14904,8857,417,417
289182,331525,189,4653,2827,200,200
317149,318548,103,3950,4802,192,192
148631,323199,472,20693,29121,597,597
108848,194855,359,13554,12689,382,382
270380,267878,102,1222,1418,125,125
207870,188435,95,96,96,96,96
105334,280784,490,17971,10097,539,539
270739,135841,510,19744,19796,599,599
174623,3244,485,6131,23895,582,582
375655,301173,178,7601,7055,277,277
247781,141923,472,26545,43905,695,695
148093,136544,169,6813,16351,326,326
339761,97961,744,22520,18224,751,751
309928,122623,681,15575,9797,688,688
173637,217997,296,28958,15709,519,519
381312,173405,547,11928,10082,574,574
312799,178524,355,52535,33209,732,732
262570,58422,700,6482,17284,707,707
96019,202740,477,33846,21938,574,574
275164,100110,526,11547,30189,569,569
393454,239979,547,4888,1428,548,548
155221,182318,245,13911,22481,380,380
344161,187269,508,6735,3489,521,521
101441,165520,153,8109,1440,222,222
308463,111409,494,22062,14260,585,585
366198,209771,475,500,4509,476,476
154666,292224,614,22097,38066,721,721
86632,225351,479,15665,16151,496,496
268656,317528,170,1189,193,171,171
239492,262123,167,6784,2514,268,268
198918,137147,291,21293,31130,530,530
2373,322519,898,14719,9023,911,911
175571,256836,327,18665,9139,520,520
77435,340111,762,24812,29099,815,815
262490,59089,579,10142,29768,668,668
295638,134544,390,29125,14722,653,653
158539,248749,354,20947,9170,479,479
102886,338971,645,16447,23077,768,768
107500,78276,288,10857,12070,363,363
287401,72162,535,29932,26053,716,716
384319,330567,184,3410,4797,253,253
284224,72599,601,17638,10301,620,620
301738,264820,198,5716,1101,221,221
233496,50503,589,28733,70992,846,846
107905,339717,692,40572,24294,741,741
308946,172351,515,46952,37047,758,758
338848,357947,91,333,966,102,102
138274,273123,497,17741,13186,570,570
163811,101842,193,1939,9002,226,226
226093,112375,424,10885,59686,671,671
377410,63528,768,32794,35638,925,925
196317,378693,504,54875,74948,1043,1043
294822,271441,55,986,463,82,82
135629,263067,430,6506,6758,449,449
278166,105429,429,3240,5698,436,436
171942,89713,231,3989,12584,308,308
71308,296779,643,10369,13623,650,650
386122,69131,767,40365,29830,948,948
334199,223079,528,6014,1281,529,529
122281,185810,269,18929,13725,358,358
122271,187189,182,14167,8916,291,291
105340,82781,95,127,248,96,96
173228,375709,737,33623,65086,968,968
333986,164148,494,35893,36838,767,767
299857,121424,449,9685,10557,488,488
213934,319274,364,36228,62596,893,893
29653,365344,891,15148,14856,906,906
182773,55297,554,21657,35594,631,631
146009,88975,254,952,615,255,255
82605,148591,416,726,10279,417,417
370886,95324,810,28102,58976,905,905
381322,319813,165,166,166,166,166
128746,211479,221,16692,11302,354,354
141477,129125,256,5220,6359,285,285
165888,316710,486,33345,33955,687,687
334233,156367,746,41823,23613,861,861
175394,281737,503,36331,54158,758,758
106683,341132,737,13873,11297,744,744
76937,91655,38,76,39,39,39
145092,295573,577,28352,26742,640,640
124837,186627,272,8321,6941,295,295
214368,131754,280,11375,8447,329,329
185044,97476,304,6369,10590,323,323
82742,292175,777,23317,16320,784,784
191064,197970,38,39,39,39,39
164175,51449,548,12069,3065,549,549
272879,153755,324,23866,43279,681,681
331403,298992,139,169,213,140,140
246469,295971,254,321,2293,255,255
61466,396935,881,31744,36454,1088,1088
173726,253357,225,58200,35554,828,828
158989,148117,72,303,74,73,73
114553,206987,442,17229,27457,487,487
47478,51909,111,2201,1652,154,154
286594,330109,319,426,320,320,320
190534,284596,318,37553,45343,791,791
382247,131124,597,42030,19800,904,904
383065,258283,366,378,2252,367,367
160673,45672,443,1372,2553,444,444
197454,291153,387,33476,51353,768,768
84303,213639,430,39909,21091,613,613
306261,211488,273,74198,38077,892,892
119797,86389,144,6366,2668,189,189
109243,297713,550,9687,17664,563,563
203172,136192,290,18582,19029,409,409
93010,376586,694,29727,53884,943,943
233826,363958,532,59760,68964,1115,1115
256541,64867,588,14818,10799,601,601
140202,338743,665,11961,38432,740,740
291765,100672,581,8863,11088,606,606
103181,145138,141,622,213,142,142
33973,289601,748,14232,9921,759,759
327736,99057,583,28467,24333,844,844
313761,26612,733,10232,15003,748,748
330513,207538,287,65043,37998,882,882
51382,283926,560,28285,26201,743,743
254371,95324,503,3461,15765,518,518
283893,173328,405,57296,31947,698,698
